1,CSE0000000,TvBaseR1,2018-04-03,2018-03-13,480,1
2,CSE0000000,ElectronicDictionary67,2018-03-12,2018-02-28,750,2
3,CSE0000000,ExhaustFanD8,2018-02-05,2018-03-02,750,3
4,CSE0000000,MultifunctionalT4,2018-02-23,2018-03-03,740,4
5,CSE0000000,ServerBarebonesH4,2018-02-19,2018-03-26,500,1
6,CSE0000001,LaptopDockingStation94,2017-07-25,2017-07-10,310,5
7,CSE0000001,DotMatrixPrinterK1,2017-07-22,2017-08-07,610,6
8,CSE0000001,HumidifierY5,2017-08-10,2017-08-15,160,5
9,CSE0000001,PhysicalSecurityIsolation35,2017-08-07,2017-09-01,770,7
10,CSE0000001,HumidifierF6,2017-07-13,2017-08-26,430,8
11,CSE0000001,SteeringWheel71,2017-07-23,2017-08-19,1000,9
12,CSE0000001,HotPotJ2,2017-07-18,2017-08-16,430,10
13,CSE0000001,BuildingIntercom75,2017-08-19,2017-07-16,130,11
14,CSE0000001,SerialCommunicationServerE9,2017-09-01,2017-07-23,1000,12
15,CSE0000001,CasetteLibrary26,2017-08-25,2017-08-14,170,13
16,CSE0000001,MicrophoneDigitalCompanionX4,2017-07-13,2017-07-08,600,14
17,CSE0000001,Mp437,2017-08-13,2017-07-20,300,15
18,CSE0000001,ServerPowerO3,2017-08-17,2017-07-22,770,16
19,CSE0000001,ToiletSeatO7,2017-08-02,2017-08-13,690,17
20,CSE0000001,DiskArray57,2017-08-12,2017-07-08,780,18
21,CSE0000001,SecurityCameraY2,2017-08-24,2017-09-03,820,19
22,CSE0000001,SecurityCamera25,2017-09-03,2017-08-19,180,20
23,CSE0000002,CameraBattery26,2004-01-20,2004-01-18,150,21
24,CSE0000002,HumidifierE8,2003-12-13,2003-12-26,780,22
25,CSE0000002,HardDiskRecording82,2003-12-02,2003-12-04,40,23
26,CSE0000003,AirConditioner27,2018-05-31,2018-05-21,750,24
27,CSE0000003,DvrE9,2018-05-11,2018-05-12,580,25
28,CSE0000003,InkCartridgeU4,2018-06-21,2018-06-02,190,26
29,CSE0000003,Laptop'SBatteryT2,2018-05-28,2018-06-03,900,27
30,CSE0000003,PrintServer18,2018-05-29,2018-05-09,1000,28
31,CSE0000003,PhotoBox60,2018-06-18,2018-06-08,50,29
32,CSE0000003,DotMatrixPrinter76,2018-05-21,2018-06-10,240,27
33,CSE0000003,PedometerC2,2018-05-14,2018-05-05,130,30
34,CSE0000003,OpticalTransceiver15,2018-05-03,2018-06-06,540,24
35,CSE0000003,FlatFilm23,2018-04-27,2018-06-18,710,31
36,CSE0000003,HardDiskA7,2018-06-06,2018-05-23,10,32
37,CSE0000004,MobilePhoneCarAccessories90,2001-06-21,2001-06-22,270,33
38,CSE0000004,TapeDrivesG3,2001-06-25,2001-06-29,940,34
39,CSE0000004,DesktopPc74,2001-07-10,2001-06-14,840,35
40,CSE0000004,HomeTheater94,2001-07-05,2001-06-03,760,36
41,CSE0000004,CardReader59,2001-06-28,2001-06-25,660,37
42,CSE0000005,Tester04,2021-07-19,2021-06-19,860,38
43,CSE0000005,PowerSupply63,2021-06-24,2021-05-28,70,39
44,CSE0000005,WashingMachine56,2021-06-06,2021-07-03,470,40
45,CSE0000005,GameLightGunGamePeripheral93,2021-06-28,2021-06-30,80,35
46,CSE0000005,AntivirusAndEmailFiltering05,2021-07-05,2021-06-11,590,41
47,CSE0000005,OfficeSoftware20,2021-06-01,2021-07-20,380,42
48,CSE0000005,ScreenSplitterA3,2021-07-08,2021-07-18,420,7
49,CSE0000005,LightningProtectionProducts26,2021-07-07,2021-06-06,970,43
