CSE0000000,TvBaseR1,480,2018-04-03,2018-03-13,12111414,
CSE0000000,ElectronicDictionary67,750,2018-03-12,2018-02-28,12110809,
CSE0000000,ExhaustFanD8,750,2018-02-05,2018-03-02,11812628,
CSE0000000,MultifunctionalT4,740,2018-02-23,2018-03-03,11612519,
CSE0000000,ServerBarebonesH4,500,2018-02-19,2018-03-26,12111414,
CSE0000001,LaptopDockingStation94,310,2017-07-25,2017-07-10,12011919,
CSE0000001,DotMatrixPrinterK1,610,2017-07-22,2017-08-07,11311100,
CSE0000001,HumidifierY5,160,2017-08-10,2017-08-15,12011919,
CSE0000001,PhysicalSecurityIsolation35,770,2017-08-07,2017-09-01,11610329,
CSE0000001,HumidifierF6,430,2017-07-13,2017-08-26,11112326,
CSE0000001,SteeringWheel71,1000,2017-07-23,2017-08-19,11610803,
CSE0000001,HotPotJ2,430,2017-07-18,2017-08-16,11110725,
CSE0000001,BuildingIntercom75,130,2017-08-19,2017-07-16,12012220,
CSE0000001,SerialCommunicationServerE9,1000,2017-09-01,2017-07-23,11112911,
CSE0000001,CasetteLibrary26,170,2017-08-25,2017-08-14,12112727,
CSE0000001,MicrophoneDigitalCompanionX4,600,2017-07-13,2017-07-08,11710106,
CSE0000001,Mp437,300,2017-08-13,2017-07-20,11211510,
CSE0000001,ServerPowerO3,770,2017-08-17,2017-07-22,11910621,
CSE0000001,ToiletSeatO7,690,2017-08-02,2017-08-13,12212123,
CSE0000001,DiskArray57,780,2017-08-12,2017-07-08,12111625,
CSE0000001,SecurityCameraY2,820,2017-08-24,2017-09-03,12111906,
CSE0000001,SecurityCamera25,180,2017-09-03,2017-08-19,11711710,
CSE0000002,CameraBattery26,150,2004-01-20,2004-01-18,11711701,
CSE0000002,HumidifierE8,780,2003-12-13,2003-12-26,11510201,
CSE0000002,HardDiskRecording82,40,2003-12-02,2003-12-04,11810914,
CSE0000003,AirConditioner27,750,2018-05-31,2018-05-21,11612521,
CSE0000003,DvrE9,580,2018-05-11,2018-05-12,12110421,
CSE0000003,InkCartridgeU4,190,2018-06-21,2018-06-02,11212200,
CSE0000003,Laptop'SBatteryT2,900,2018-05-28,2018-06-03,11411929,
CSE0000003,PrintServer18,1000,2018-05-29,2018-05-09,11611508,
CSE0000003,PhotoBox60,50,2018-06-18,2018-06-08,11911204,
CSE0000003,DotMatrixPrinter76,240,2018-05-21,2018-06-10,11411929,
CSE0000003,PedometerC2,130,2018-05-14,2018-05-05,12012309,
CSE0000003,OpticalTransceiver15,540,2018-05-03,2018-06-06,11612521,
CSE0000003,FlatFilm23,710,2018-04-27,2018-06-18,11210120,
CSE0000003,HardDiskA7,10,2018-06-06,2018-05-23,12211614,
CSE0000004,MobilePhoneCarAccessories90,270,2001-06-21,2001-06-22,11811426,
CSE0000004,TapeDrivesG3,940,2001-06-25,2001-06-29,11810625,
CSE0000004,DesktopPc74,840,2001-07-10,2001-06-14,11312521,
CSE0000004,HomeTheater94,760,2001-07-05,2001-06-03,11212008,
CSE0000004,CardReader59,660,2001-06-28,2001-06-25,11210622,
CSE0000005,Tester04,860,2021-07-19,2021-06-19,11311906,
CSE0000005,PowerSupply63,70,2021-06-24,2021-05-28,11211002,
CSE0000005,WashingMachine56,470,2021-06-06,2021-07-03,11612024,
CSE0000005,GameLightGunGamePeripheral93,80,2021-06-28,2021-06-30,11312521,
CSE0000005,AntivirusAndEmailFiltering05,590,2021-07-05,2021-06-11,11910916,
CSE0000005,OfficeSoftware20,380,2021-06-01,2021-07-20,11611210,
CSE0000005,ScreenSplitterA3,420,2021-07-08,2021-07-18,11610329,
CSE0000005,LightningProtectionProducts26,970,2021-07-07,2021-06-06,11510416,
CSE0000005,AirPurifierV6,960,2021-06-03,2021-07-02,11211510,
CSE0000005,LargeFormatPrinterT5,640,2021-06-21,2021-07-02,11611627,
CSE0000005,Cpu38,320,2021-06-13,2021-06-27,11910210,
CSE0000005,AntivirusSoftwareP9,920,2021-07-05,2021-07-12,12111307,
CSE0000005,BarcodeAndCardReadingEquipment27,110,2021-06-17,2021-07-16,11411314,
CSE0000006,OpticalTransceiver40,900,2015-04-13,2015-03-31,11611227,
CSE0000006,FaxMachineCopierD4,670,2015-03-15,2015-04-09,11911804,
CSE0000007,RemoteControl83,540,2010-10-23,2010-09-23,12111613,
CSE0000008,TvBase65,580,2000-11-17,2000-11-24,11511523,
CSE0000008,LaminatorMoDriveH2,520,2000-11-27,2000-11-23,11510013,
